@,B,D,$,E,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0009751750,0.00|0.00|0.00,6.20.06,49.71,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,146.800,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.97|0.00|0.00|0.00|0.00,0.332000,49.71,6.20.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,7.20.06,50.41,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,148.420,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.99|0.00|0.00|0.00|0.00,0.333000,50.41,7.20.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,8.15.06,4.94,,EUR,1,1.000000,,|[SBroker (H)],,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,4.94,8.15.06,Microsoft,870747,
DE0009751750,0.00|0.00|0.00,8.21.06,49.59,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,156.320,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.97|0.00|0.00|0.00|0.00,0.311000,49.59,8.21.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,9.20.06,49.57,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,158.310,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.97|0.00|0.00|0.00|0.00,0.307000,49.57,9.20.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,10.20.06,50.62,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,164.900,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.99|0.00|0.00|0.00|0.00,0.301000,50.62,10.20.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
US5949181045,,11.14.06,5.27,,EUR,1,1.000000,,|[SBroker (H)],,DivAus,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,5.27,11.14.06,Microsoft,870747,
DE0009751750,,11.15.06,0.12,,EUR,2,1.000000,,|[SBroker (H)],,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.12,11.15.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,11.20.06,49.53,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,169.800,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.97|0.00|0.00|0.00|0.00,0.286000,49.53,11.20.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751750,0.00|0.00|0.00,12.20.06,50.72,Depotkosten:Ausgabeaufschlag,EUR,2,1.000000,176.330,|[SBroker (H)],,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.99|0.00|0.00|0.00|0.00,0.282000,50.72,12.20.06,UBS (D) Equity Fund - Mid Caps Germany,975175,
