@,B,D,$,E,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
LU0124427344,,4.20.10,0.72,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.72,4.20.10,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,5.4.10,15.60,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG DEUTSCHE TELEK,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,15.60,5.4.10,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE000CMBT111,,5.20.10,7.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG KIZOO AG  NA O,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,7.00,5.20.10,Atevia AG,CMBT11,
LU0124427344,,4.21.11,0.70,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.70,4.20.11,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,5.13.11,14.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCH�TTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,14.00,5.13.11,Deutsche Telekom AG Namens-Aktien o.N.,555750,
LU0124427344,,4.23.12,0.83,,EUR,2,1.000000,,|[Privatgiro],AUSSCHUETTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.83,4.20.12,DekaStruktur: 3 Wachstum,554002,
DE000CMBT111,,5.4.12,17.50,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUETTUNG KIZOO AG NA O,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,17.50,5.4.12,Atevia AG,CMBT11,
DE0005557508,,5.25.12,14.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUETTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,14.00,5.25.12,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0009751750,,11.16.12,0.39,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG UBS D EQ.FD-MI,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.39,11.16.12,UBS (D) Equity Fund - Mid Caps Germany,975175,
LU0124427344,,4.22.13,0.51,,EUR,2,1.000000,,|[Privatgiro],AUSSCHUETTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.51,4.19.13,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,6.12.13,14.00,,EUR,1,1.000000,,|[Privatgiro],0101110613   2  0130611/072935100  /0/0/,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,14.00,6.11.13,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0009751750,,11.18.13,0.78,,EUR,2,1.000000,,|[Privatgiro],AUSSCH�TTUNG UBS D EQ.FD-MI,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.78,11.18.13,UBS (D) Equity Fund - Mid Caps Germany,975175,
LU0124427344,,4.28.14,0.64,,EUR,2,1.000000,,|[Privatgiro],AUSSCHUTTUNG DEKASTRUKTUR,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.64,4.25.14,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,6.10.14,10.00,,EUR,1,1.000000,,|[Privatgiro],Dividendengutschrift,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,10.00,6.10.14,Deutsche Telekom AG Namens-Aktien o.N.,555750,
LU0124427344,,4.25.15,0.60,,EUR,2,1.000000,,|[Privatgiro],AUSSCHUTTUNG DEKASTRUKTUR EREF+66488576,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.60,4.24.15,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,6.16.15,10.00,,EUR,1,1.000000,,|[Privatgiro],WERTPAPIERE NONREF EREF+67970597,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,10.00,6.16.15,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE000CMBT111,,7.24.15,3.15,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUTTUNG ATEVIA AG NA EREF+69166884,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,3.15,7.24.15,Atevia AG,CMBT11,
DE0009751750,,10.22.15,1.79,,EUR,2,1.000000,,|[Privatgiro],AUSSCHUTTUNG UBS D EQ.FD-MI EREF+71218872,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,1.79,10.14.15,UBS (D) Equity Fund - Mid Caps Germany,975175,
LU0124427344,,4.25.16,0.87,,EUR,2,1.000000,,|[Privatgiro],Ertr�gnisgutschrift AUSSCHUTTUNG DEKASTRUKTUR,Payout,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.87,4.27.16,DekaStruktur: 3 Wachstum,554002,
DE0005557508,,6.21.16,11.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUTTUNG DT.TELEKOM AG EREF+76723047,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,11.00,6.21.16,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE000CMBT111,0.00|0.00|0.00,9.5.16,49.91,,EUR,1,1.000000,7.130,Kursgewinne:Realisierte Gewinne|[Privatgiro],Ausbuchung/Barausgleich,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7.000000,49.91,9.6.16,Atevia AG,CMBT11,
DE000CMBT111,,9.6.16,0.07,,EUR,1,1.000000,,|[Privatgiro],Ertr�gnisgutschrift,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,0.07,9.6.16,Atevia AG,CMBT11,
DE0009751750,,10.11.16,,,EUR,2,1.000000,342.590,Kursgewinne:Realisierte Gewinne|,Ausbuchung,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9.734000,"3,334.77",10.7.16,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751651,,10.11.16,,,EUR,2,1.000000,433.087,,Einbuchung,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7.700000,"3,334.77",10.7.16,UBS (D) Equity Fund - SmallerGerman Companies,975165,
DE0009751750,,10.19.16,15.28,,EUR,2,1.000000,,|[Privatgiro],WERTPAPIERE NONREF EREF+78750465,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,15.28,10.13.16,UBS (D) Equity Fund - Mid Caps Germany,975175,
DE0009751651,0.00|0.00|0.00,3.8.17,"1,680.28",,EUR,2,1.000000,454.130,Kursgewinne:Realisierte Gewinne|[Privatgiro],DE0009751651 UBS D EQ.FD SM EREF+SBROKER0000070957339,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3.700000,"1,680.28",3.10.17,UBS (D) Equity Fund - SmallerGerman Companies,975165,
LU0124427344,0.00|0.00|0.00,3.8.17,43.49,,EUR,2,1.000000,44.242,Kursgewinne:Realisierte Gewinne|[Privatgiro],LU0124427344 DEKASTRUKTUR EREF+SBROKER0000070957328,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.983000,43.49,3.10.17,DekaStruktur: 3 Wachstum,554002,
DE0009751651,0.00|0.00|0.00,5.23.17,"2,028.68",,EUR,2,1.000000,507.170,Kursgewinne:Realisierte Gewinne|[Privatgiro],DE0009751651 UBS D EQ.FD SM,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4.000000,"2,028.68",5.25.17,UBS (D) Equity Fund - SmallerGerman Companies,975165,
DE0005557508,,6.27.17,12.00,,EUR,1,1.000000,,|[Privatgiro],WERTPAPIERE,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,12.00,6.27.17,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,5.22.18,13.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUTTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,13.00,5.22.18,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,4.2.19,14.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUTTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,14.00,4.2.19,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,6.24.20,12.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUTTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,12.00,6.26.20,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,4.8.21,12.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUTTUNG DT.TELEKOM AG,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,12.00,4.8.21,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,4.11.22,12.80,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUETTUNG DT.TELEKOM AGCIBAN+ DE96860555921900002180CREF+,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,12.80,4.12.22,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,4.12.23,14.00,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUETTUNG DT.TELEKOM AG 134684393,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,14.00,4.12.23,Deutsche Telekom AG Namens-Aktien o.N.,555750,
DE0005557508,,4.15.24,15.40,,EUR,1,1.000000,,|[Privatgiro],AUSSCHUETTUNG DT.TELEKOM AG 145392401,DivIn,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.000000,15.40,4.15.24,Deutsche Telekom AG Namens-Aktien o.N.,555750,
