@,B,D,$,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
IE0004907972,,12.14.99,,EUR,0,1.000000,48.169,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.278000,,12.14.99,DekaTeam-EmergingMarkets CF,987887,
DE0009771923,,12.15.99,,EUR,2,1.000000,111.394,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.918000,102.26,12.15.99,Deka-TeleMedien TF,977192,
DE0009786285,,1.5.00,,EUR,2,1.000000,73.759,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3.466000,255.65,1.5.00,Deka-EuropaPotential TF,978628,
DE0008474503,,1.13.00,,EUR,2,1.000000,87.398,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.392000,34.26,1.13.00,DekaFonds CF,847450,
DE0009786285,,1.17.00,,EUR,2,1.000000,83.682,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.222000,102.26,1.17.00,Deka-EuropaPotential TF,978628,
DE0008474503,,2.14.00,,EUR,2,1.000000,93.098,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.368000,34.26,2.14.00,DekaFonds CF,847450,
DE0009771923,,2.15.00,,EUR,2,1.000000,134.908,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.758000,102.26,2.15.00,Deka-TeleMedien TF,977192,
DE0008474503,,2.18.00,,EUR,2,1.000000,88.099,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.142000,12.51,2.18.00,DekaFonds CF,847450,
DE0009786285,,2.18.00,,EUR,2,1.000000,108.462,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.013000,1.41,2.18.00,Deka-EuropaPotential TF,978628,
DE0009771923,,2.21.00,,EUR,2,1.000000,127.870,,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.676000,,2.21.00,Deka-TeleMedien TF,977192,
