@,B,D,$,F,&,G,I,L,M,N,O,Q,U,V,Y,~,
DE0005424519,,7.1.06,,EUR,2,1.000000,60.288,,Ertrag/Zinsen,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.116000,127.57,7.1.16,Deka-BR 100,542451,
DE0005424519,,7.3.06,,EUR,2,1.000000,42.222,Kapitalertr�ge:sonstige Einnahme|,Thesaurierung,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.018000,0.76,7.3.06,Deka-BR 100,542451,
DE0005424519,,7.10.06,,EUR,2,1.000000,44.181,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.392000,61.50,7.10.06,Deka-BR 100,542451,
DE0008474511,,7.17.06,,EUR,2,1.000000,62.278,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.562000,35.00,7.17.06,AriDeka CF,847451,
DE0009771824,,7.17.06,,EUR,2,1.000000,64.893,Kursgewinne:Realisierte Gewinne|,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.541000,100.00,7.17.06,Deka-VarioInvest TF,977182,
IE0002080863,,7.18.06,,EUR,2,1.000000,52.356,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.955000,50.00,7.18.06,Deka-GlobalResources TF,565126,
DE0007019317,,7.18.06,,EUR,2,1.000000,36.390,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.374000,50.00,7.18.06,Deka-Finanzwerte TF,701931,
LU0133666759,,7.18.06,,EUR,2,1.000000,128.205,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.390000,50.00,7.18.06,Deka-ConvergenceAktien TF,940542,
DE0009771824,,7.18.06,,EUR,2,1.000000,64.879,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.156000,75.00,7.18.06,Deka-VarioInvest TF,977182,
DE0005424519,,8.8.06,,EUR,2,1.000000,44.404,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.385000,61.50,8.8.06,Deka-BR 100,542451,
DE0008474511,,8.14.06,,EUR,2,1.000000,66.414,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.527000,35.00,8.14.06,AriDeka CF,847451,
IE0002080863,,8.18.06,,EUR,2,1.000000,52.247,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.957000,50.00,8.18.06,Deka-GlobalResources TF,565126,
DE0007019317,,8.18.06,,EUR,2,1.000000,38.911,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.285000,50.00,8.18.06,Deka-Finanzwerte TF,701931,
LU0133666759,,8.18.06,,EUR,2,1.000000,139.665,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.358000,50.00,8.18.06,Deka-ConvergenceAktien TF,940542,
DE0009771824,,8.18.06,,EUR,2,1.000000,65.048,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.153000,75.00,8.18.06,Deka-VarioInvest TF,977182,
IE0002080863,,8.21.06,,EUR,2,1.000000,52.424,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.099000,5.19,8.21.06,Deka-GlobalResources TF,565126,
IE0005259126,,8.21.06,,EUR,0,1.000000,41.843,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.434000,18.16,8.21.06,Deka-PharmaTech CF,989095,
DE0005424519,,9.8.06,,EUR,2,1.000000,45.827,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.342000,61.50,9.8.06,Deka-BR 100,542451,
DE0008474511,,9.14.06,,EUR,2,1.000000,67.961,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.515000,35.00,9.14.06,AriDeka CF,847451,
IE0002080863,,9.18.06,,EUR,2,1.000000,48.216,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.037000,50.00,9.18.06,Deka-GlobalResources TF,565126,
DE0007019317,,9.18.06,,EUR,2,1.000000,39.588,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.263000,50.00,9.18.06,Deka-Finanzwerte TF,701931,
LU0133666759,,9.18.06,,EUR,2,1.000000,138.504,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.361000,50.00,9.18.06,Deka-ConvergenceAktien TF,940542,
DE0009771824,,9.18.06,,EUR,2,1.000000,65.161,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.151000,75.00,9.18.06,Deka-VarioInvest TF,977182,
DE0005424519,,10.9.06,,EUR,2,1.000000,47.972,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.282000,61.50,10.9.06,Deka-BR 100,542451,
DE0008474511,,10.13.06,,EUR,2,1.000000,70.850,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.494000,35.00,10.13.06,AriDeka CF,847451,
IE0002080863,,10.18.06,,EUR,2,1.000000,51.125,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.978000,50.00,10.18.06,Deka-GlobalResources TF,565126,
DE0007019317,,10.18.06,,EUR,2,1.000000,41.459,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.206000,50.00,10.18.06,Deka-Finanzwerte TF,701931,
LU0133666759,,10.18.06,,EUR,2,1.000000,144.928,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.345000,50.00,10.18.06,Deka-ConvergenceAktien TF,940542,
DE0009771824,,10.18.06,,EUR,2,1.000000,65.331,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.148000,75.00,10.18.06,Deka-VarioInvest TF,977182,
DE0008474503,,10.23.06,,EUR,2,1.000000,73.238,Kursgewinne:Realisierte Gewinne|,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,11.606000,850.00,10.23.06,DekaFonds CF,847450,
DE0005424519,,11.8.06,,EUR,2,1.000000,49.398,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.245000,61.50,11.8.06,Deka-BR 100,542451,
DE0008474511,,11.14.06,,EUR,2,1.000000,71.869,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.487000,35.00,11.14.06,AriDeka CF,847451,
IE0002080863,,11.20.06,,EUR,2,1.000000,52.029,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.961000,50.00,11.20.06,Deka-GlobalResources TF,565126,
DE0007019317,,11.20.06,,EUR,2,1.000000,41.425,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.207000,50.00,11.20.06,Deka-Finanzwerte TF,701931,
LU0133666759,,11.20.06,,EUR,2,1.000000,150.150,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.333000,50.00,11.20.06,Deka-ConvergenceAktien TF,940542,
DE0009771824,,11.20.06,,EUR,2,1.000000,65.502,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.145000,75.00,11.20.06,Deka-VarioInvest TF,977182,
LU0264761353,,11.22.06,,EUR,2,1.000000,102.480,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,29.274000,"3,000.00",11.22.06,Deka-Best of Garant 10/2013,DK0A2M,
DE0005424519,,12.8.06,,EUR,2,1.000000,49.121,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.252000,61.50,12.8.06,Deka-BR 100,542451,
DE0008474511,,12.14.06,,EUR,2,1.000000,72.614,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.482000,35.00,12.14.06,AriDeka CF,847451,
IE0002080863,,12.18.06,,EUR,2,1.000000,53.996,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.926000,50.00,12.18.06,Deka-GlobalResources TF,565126,
DE0007019317,,12.18.06,,EUR,2,1.000000,43.516,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.149000,50.00,12.18.06,Deka-Finanzwerte TF,701931,
LU0133666759,,12.18.06,,EUR,2,1.000000,163.399,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.306000,50.00,12.18.06,Deka-ConvergenceAktien TF,940542,
DE0009771824,,12.18.06,,EUR,2,1.000000,65.617,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.143000,75.00,12.18.06,Deka-VarioInvest TF,977182,
DE0007019317,,1.2.07,,EUR,2,1.000000,45.000,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.014000,0.63,1.2.07,Deka-Finanzwerte TF,701931,
DE0009771824,,1.2.07,,EUR,2,1.000000,65.116,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.086000,5.60,1.2.07,Deka-VarioInvest TF,977182,
DE0005424519,,1.8.07,,EUR,2,1.000000,50.410,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.220000,61.50,1.8.07,Deka-BR 100,542451,
DE0008474511,,1.12.07,,EUR,2,1.000000,73.996,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.473000,35.00,1.12.07,AriDeka CF,847451,
IE0002080863,,1.18.07,,EUR,2,1.000000,51.546,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.970000,50.00,1.18.07,Deka-GlobalResources TF,565126,
DE0007019317,,1.18.07,,EUR,2,1.000000,44.763,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.117000,50.00,1.18.07,Deka-Finanzwerte TF,701931,
LU0133666759,,1.18.07,,EUR,2,1.000000,164.474,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.304000,50.00,1.18.07,Deka-ConvergenceAktien TF,940542,
DE0009771824,,1.18.07,,EUR,2,1.000000,65.331,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.148000,75.00,1.18.07,Deka-VarioInvest TF,977182,
DE0005424519,,2.8.07,,EUR,2,1.000000,52.296,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.176000,61.50,2.8.07,Deka-BR 100,542451,
DE0008474511,,2.14.07,,EUR,2,1.000000,76.087,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.460000,35.00,2.14.07,AriDeka CF,847451,
DE0008474503,,2.16.07,,EUR,2,1.000000,82.472,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.534000,44.04,2.16.07,DekaFonds CF,847450,
DE0008474511,,2.16.07,,EUR,2,1.000000,72.424,Kapitalertr�ge:sonstige Einnahme|,,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.231000,16.73,2.16.07,AriDeka CF,847451,
DE0007019317,,2.19.07,,EUR,2,1.000000,45.956,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.088000,50.00,2.19.07,Deka-Finanzwerte TF,701931,
LU0133666759,,2.19.07,,EUR,2,1.000000,171.821,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.291000,50.00,2.19.07,Deka-ConvergenceAktien TF,940542,
IE0002080863,,2.20.07,,EUR,2,1.000000,55.371,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.903000,50.00,2.20.07,Deka-GlobalResources TF,565126,
DE0009771824,,2.22.07,,EUR,2,1.000000,65.540,Kursgewinne:Realisierte Gewinne|,,WP-Entnahme,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,12.761000,836.36,2.22.07,Deka-VarioInvest TF,977182,
DE0005424519,,3.8.07,,EUR,2,1.000000,50.204,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.225000,61.50,3.8.07,Deka-BR 100,542451,
DE0008474511,,3.14.07,,EUR,2,1.000000,69.034,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.507000,35.00,3.14.07,AriDeka CF,847451,
DE0007019317,,3.19.07,,EUR,2,1.000000,42.337,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.181000,50.00,3.19.07,Deka-Finanzwerte TF,701931,
LU0133666759,,3.19.07,,EUR,2,1.000000,165.563,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.302000,50.00,3.19.07,Deka-ConvergenceAktien TF,940542,
DE0009771824,,3.19.07,,EUR,2,1.000000,65.674,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.142000,75.00,3.19.07,Deka-VarioInvest TF,977182,
IE0002080863,,3.20.07,,EUR,2,1.000000,53.533,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.934000,50.00,3.20.07,Deka-GlobalResources TF,565126,
DE0009771824,,3.29.07,,EUR,2,1.000000,65.740,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,19.775000,"1,300.00",3.29.07,Deka-VarioInvest TF,977182,
DE0005424519,,4.10.07,,EUR,2,1.000000,51.594,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.192000,61.50,4.10.07,Deka-BR 100,542451,
DE0008474511,,4.13.07,,EUR,2,1.000000,75.431,,,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.464000,35.00,4.13.07,AriDeka CF,847451,
IE0002080863,0.00|0.00|0.00,4.19.07,50.00,EUR,2,1.000000,58.685,|[Privatgiro],0119091767 IE0002080863 00  DEKA-GLOBALRESOURCES TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.852000,50.00,4.19.07,Deka-GlobalResources TF,565126,
DE0007019317,0.00|0.00|0.00,4.19.07,50.00,EUR,2,1.000000,44.843,|[Privatgiro],0119091767 DE0007019317 00  DEKA-FINANZWERTE TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.115000,50.00,4.19.07,Deka-Finanzwerte TF,701931,
LU0133666759,0.00|0.00|0.00,4.19.07,50.00,EUR,2,1.000000,182.482,|[Privatgiro],0119091767 LU0133666759 00  DEKA-CONVERGENCEAKTIEN TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.274000,50.00,4.19.07,Deka-ConvergenceAktien TF,940542,
DE0009771824,0.00|0.00|0.00,4.19.07,75.00,EUR,2,1.000000,65.847,|[Privatgiro],0119091767 DE0009771824 00  DEKA-GELDMARKT  EURO TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.139000,75.00,4.19.07,Deka-VarioInvest TF,977182,
DE0009771824,0.00|0.00|0.00,4.23.07,"1,300.00",EUR,2,1.000000,65.869,Kursgewinne:Realisierte Gewinne|[Privatgiro],0119091767 DE0009771824 00  DEKA-GELDMARKT  EURO TF,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,19.736000,"1,300.00",4.23.07,Deka-VarioInvest TF,977182,
DE0009771824,0.00|0.00|0.00,5.7.07,150.00,EUR,2,1.000000,65.934,Kursgewinne:Realisierte Gewinne|[Privatgiro],0119091767 DE0009771824 00  DEKA-GELDMARKT  EURO TF,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.275000,150.00,5.7.07,Deka-VarioInvest TF,977182,
DE0005424519,0.00|0.00|0.00,5.9.07,61.50,EUR,2,1.000000,52.926,|[Privatgiro],119091767 XF0009994050 15  DEKA-BONUSRENTE,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.162000,61.50,5.9.07,Deka-BR 100,542451,
DE0008474511,0.00|0.00|0.00,5.14.07,35.00,EUR,2,1.000000,78.125,|[Privatgiro],LOHN/GEHALT 00006802/200705  *,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.448000,35.00,5.16.07,AriDeka CF,847451,
DE0005424519,,5.16.07,,EUR,2,1.000000,52.729,,Zulagenzahlung 2006,WP-Einlage,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.162000,114.00,5.16.07,Deka-BR 100,542451,
IE0002080863,0.00|0.00|0.00,5.21.07,50.00,EUR,2,1.000000,61.958,|[Privatgiro],0119091767 IE0002080863 00  DEKA-GLOBALRESOURCES TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.807000,50.00,5.21.07,Deka-GlobalResources TF,565126,
DE0007019317,0.00|0.00|0.00,5.21.07,50.00,EUR,2,1.000000,45.914,|[Privatgiro],0119091767 DE0007019317 00  DEKA-FINANZWERTE TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.089000,50.00,5.21.07,Deka-Finanzwerte TF,701931,
LU0133666759,0.00|0.00|0.00,5.21.07,50.00,EUR,2,1.000000,179.856,|[Privatgiro],0119091767 LU0133666759 00  DEKA-CONVERGENCEAKTIEN TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.278000,50.00,5.21.07,Deka-ConvergenceAktien TF,940542,
DE0009771824,0.00|0.00|0.00,5.21.07,75.00,EUR,2,1.000000,66.021,|[Privatgiro],0119091767 DE0009771824 00  DEKA-GELDMARKT  EURO TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.136000,75.00,5.21.07,Deka-VarioInvest TF,977182,
DE0005424519,0.00|0.00|0.00,6.11.07,61.50,EUR,2,1.000000,52.654,|[Privatgiro],119091767 XF0009994050 15  DEKA-BONUSRENTE,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.168000,61.50,6.11.07,Deka-BR 100,542451,
DE0008474511,0.00|0.00|0.00,6.14.07,35.00,EUR,2,1.000000,79.545,|[Privatgiro],LOHN/GEHALT 00006802/200706  *,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.440000,35.00,6.18.07,AriDeka CF,847451,
IE0002080863,0.00|0.00|0.00,6.19.07,50.00,EUR,2,1.000000,67.204,|[Privatgiro],0119091767 IE0002080863 00  DEKA-GLOBALRESOURCES TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.744000,50.00,6.19.07,Deka-GlobalResources TF,565126,
DE0007019317,0.00|0.00|0.00,6.19.07,50.00,EUR,2,1.000000,46.685,|[Privatgiro],0119091767 DE0007019317 00  DEKA-FINANZWERTE TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.071000,50.00,6.19.07,Deka-Finanzwerte TF,701931,
LU0133666759,0.00|0.00|0.00,6.19.07,50.00,EUR,2,1.000000,187.970,|[Privatgiro],0119091767 LU0133666759 00  DEKA-CONVERGENCEAKTIEN TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.266000,50.00,6.19.07,Deka-ConvergenceAktien TF,940542,
DE0009771824,0.00|0.00|0.00,6.19.07,75.00,EUR,2,1.000000,66.196,|[Privatgiro],0119091767 DE0009771824 00  DEKA-GELDMARKT  EURO TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.133000,75.00,6.19.07,Deka-VarioInvest TF,977182,
DE0009771824,0.00|0.00|0.00,7.2.07,150.00,EUR,2,1.000000,66.313,Kursgewinne:Realisierte Gewinne|[Privatgiro],0119091767 DE0009771824 00  DEKA-GELDMARKT  EURO TF,Verkauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2.262000,150.00,7.2.07,Deka-VarioInvest TF,977182,
DE0005424519,,7.2.07,,EUR,2,1.000000,51.379,Kapitalertr�ge:sonstige Einnahme|,Ertrag,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.058000,2.98,7.2.07,Deka-BR 100,542451,
DE0005424519,0.00|0.00|0.00,7.10.07,61.50,EUR,2,1.000000,53.247,|[Privatgiro],119091767 XF0009994050 15  DEKA-BONUSRENTE,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.155000,61.50,7.10.07,Deka-BR 100,542451,
DE0008474511,0.00|0.00|0.00,7.13.07,35.00,EUR,2,1.000000,81.206,|[Privatgiro],LOHN/GEHALT 00006802/200707  *,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.431000,35.00,7.17.07,AriDeka CF,847451,
IE0002080863,0.00|0.00|0.00,7.18.07,50.00,EUR,2,1.000000,69.061,|[Privatgiro],DEKA-GLOBALRESOURCES TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.724000,50.00,7.18.07,Deka-GlobalResources TF,565126,
DE0007019317,0.00|0.00|0.00,7.18.07,50.00,EUR,2,1.000000,44.763,|[Privatgiro],DEKA-FINANZWERTE TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.117000,50.00,7.18.07,Deka-Finanzwerte TF,701931,
DE0009771824,0.00|0.00|0.00,7.18.07,75.00,EUR,2,1.000000,66.372,|[Privatgiro],DEKA-GELDMARKT  EURO TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.130000,75.00,7.18.07,Deka-VarioInvest TF,977182,
LU0133666759,0.00|0.00|0.00,7.18.07,50.00,EUR,2,1.000000,194.553,|[Privatgiro],DEKA-CONVERGENCEAKTIEN TF,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.257000,50.00,7.18.07,Deka-ConvergenceAktien TF,940542,
DE0005424519,0.00|0.00|0.00,8.8.07,61.50,EUR,2,1.000000,49.838,|[Privatgiro],119091767 XF0009994050 15  DEKA-BONUSRENTE,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.234000,61.50,8.8.07,Deka-BR 100,542451,
DE0008474511,0.00|0.00|0.00,8.14.07,35.00,EUR,2,1.000000,74.786,|[Privatgiro],LOHN/GEHALT 00006802/200708  *,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.468000,35.00,8.16.07,AriDeka CF,847451,
DE0009771824,0.00|0.00|0.00,8.18.07,75.00,EUR,2,1.000000,66.430,|[Privatgiro],0119091767 DE0009771824 00,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.129000,75.00,8.18.07,Deka-VarioInvest TF,977182,
LU0133666759,0.00|0.00|0.00,8.18.07,50.00,EUR,2,1.000000,172.414,|[Privatgiro],0119091767 LU0133666759 00,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.290000,50.00,8.18.07,Deka-ConvergenceAktien TF,940542,
DE0007019317,0.00|0.00|0.00,8.18.07,50.00,EUR,2,1.000000,40.883,|[Privatgiro],0119091767 DE0007019317 00,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1.223000,50.00,8.18.07,Deka-Finanzwerte TF,701931,
IE0002080863,0.00|0.00|0.00,8.18.07,50.00,EUR,2,1.000000,60.606,|[Privatgiro],0119091767 IE0002080863 00,Kauf,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.825000,50.00,8.18.07,Deka-GlobalResources TF,565126,
IE0002080863,,8.20.07,,EUR,2,1.000000,60.642,Kapitalertr�ge:sonstige Einnahme|,Ertrag,OthrInc,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.405000,24.56,8.20.07,Deka-GlobalResources TF,565126,
